Date,Price,ProductName,Country,Continent,Currency,Store,Category,Product URL,Price over time
2023-03-01,11.95,My Muscle Chef Crumbed Chicken With Roast Potatoes 340g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mymsc-crumb-chick-340gm,"{'Date': '2023-03-01', 'Price': 11.95}"
2023-03-02,11.95,My Muscle Chef Crumbed Chicken With Roast Potatoes 340g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mymsc-crumb-chick-340gm,"{'Date': '2023-03-02', 'Price': 11.95}"
2023-03-03,11.95,My Muscle Chef Crumbed Chicken With Roast Potatoes 340g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mymsc-crumb-chick-340gm,"{'Date': '2023-03-03', 'Price': 11.95}"
2023-03-04,11.95,My Muscle Chef Crumbed Chicken With Roast Potatoes 340g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mymsc-crumb-chick-340gm,"{'Date': '2023-03-04', 'Price': 11.95}"
2023-03-05,11.95,My Muscle Chef Crumbed Chicken With Roast Potatoes 340g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mymsc-crumb-chick-340gm,"{'Date': '2023-03-05', 'Price': 11.95}"
2023-03-06,11.95,My Muscle Chef Crumbed Chicken With Roast Potatoes 340g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mymsc-crumb-chick-340gm,"{'Date': '2023-03-06', 'Price': 11.95}"
2023-03-07,11.95,My Muscle Chef Crumbed Chicken With Roast Potatoes 340g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mymsc-crumb-chick-340gm,"{'Date': '2023-03-07', 'Price': 11.95}"
2023-03-08,11.95,My Muscle Chef Crumbed Chicken With Roast Potatoes 340g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mymsc-crumb-chick-340gm,"{'Date': '2023-03-08', 'Price': 11.95}"
2023-03-09,11.95,My Muscle Chef Crumbed Chicken With Roast Potatoes 340g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mymsc-crumb-chick-340gm,"{'Date': '2023-03-09', 'Price': 11.95}"
2023-03-10,11.95,My Muscle Chef Crumbed Chicken With Roast Potatoes 340g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mymsc-crumb-chick-340gm,"{'Date': '2023-03-10', 'Price': 11.95}"
2023-03-11,11.95,My Muscle Chef Crumbed Chicken With Roast Potatoes 340g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mymsc-crumb-chick-340gm,"{'Date': '2023-03-11', 'Price': 11.95}"
2023-03-12,11.95,My Muscle Chef Crumbed Chicken With Roast Potatoes 340g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mymsc-crumb-chick-340gm,"{'Date': '2023-03-12', 'Price': 11.95}"
2023-03-13,11.95,My Muscle Chef Crumbed Chicken With Roast Potatoes 340g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mymsc-crumb-chick-340gm,"{'Date': '2023-03-13', 'Price': 11.95}"
2023-03-14,11.95,My Muscle Chef Crumbed Chicken With Roast Potatoes 340g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mymsc-crumb-chick-340gm,"{'Date': '2023-03-14', 'Price': 11.95}"
2023-03-15,11.95,My Muscle Chef Crumbed Chicken With Roast Potatoes 340g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mymsc-crumb-chick-340gm,"{'Date': '2023-03-15', 'Price': 11.95}"
2023-03-16,11.95,My Muscle Chef Crumbed Chicken With Roast Potatoes 340g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mymsc-crumb-chick-340gm,"{'Date': '2023-03-16', 'Price': 11.95}"
2023-03-17,11.95,My Muscle Chef Crumbed Chicken With Roast Potatoes 340g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mymsc-crumb-chick-340gm,"{'Date': '2023-03-17', 'Price': 11.95}"
2023-03-18,11.95,My Muscle Chef Crumbed Chicken With Roast Potatoes 340g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mymsc-crumb-chick-340gm,"{'Date': '2023-03-18', 'Price': 11.95}"
2023-03-19,11.95,My Muscle Chef Crumbed Chicken With Roast Potatoes 340g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mymsc-crumb-chick-340gm,"{'Date': '2023-03-19', 'Price': 11.95}"
