Date,Price,DayOnDayPriceDiff,PricesCumDiff,ProductName,Country,Continent,Currency,Store,Category,Product URL,Price over time,ProductKeyword
2022-12-01,30.99,,,Fatti's & Moni's Pasta Screws 500g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Food-Cupboard/Pasta-%26-Noodles/Shapes/Fatti%27s-%26-Moni%27s-Pasta-Screws-500g/p/000000000000358895_EA,"{'Date': '2022-12-01', 'Price': 30.99}",staple_foods
2022-12-02,30.99,0.0,0.0,Fatti's & Moni's Pasta Screws 500g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Food-Cupboard/Pasta-%26-Noodles/Shapes/Fatti%27s-%26-Moni%27s-Pasta-Screws-500g/p/000000000000358895_EA,"{'Date': '2022-12-02', 'Price': 30.99}",staple_foods
2022-12-03,30.99,0.0,0.0,Fatti's & Moni's Pasta Screws 500g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Food-Cupboard/Pasta-%26-Noodles/Shapes/Fatti%27s-%26-Moni%27s-Pasta-Screws-500g/p/000000000000358895_EA,"{'Date': '2022-12-03', 'Price': 30.99}",staple_foods
2022-12-04,30.99,0.0,0.0,Fatti's & Moni's Pasta Screws 500g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Food-Cupboard/Pasta-%26-Noodles/Shapes/Fatti%27s-%26-Moni%27s-Pasta-Screws-500g/p/000000000000358895_EA,"{'Date': '2022-12-04', 'Price': 30.99}",staple_foods
2022-12-05,30.99,0.0,0.0,Fatti's & Moni's Pasta Screws 500g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Food-Cupboard/Pasta-%26-Noodles/Shapes/Fatti%27s-%26-Moni%27s-Pasta-Screws-500g/p/000000000000358895_EA,"{'Date': '2022-12-05', 'Price': 30.99}",staple_foods
2022-12-06,30.99,0.0,0.0,Fatti's & Moni's Pasta Screws 500g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Food-Cupboard/Pasta-%26-Noodles/Shapes/Fatti%27s-%26-Moni%27s-Pasta-Screws-500g/p/000000000000358895_EA,"{'Date': '2022-12-06', 'Price': 30.99}",staple_foods
2022-12-07,30.99,0.0,0.0,Fatti's & Moni's Pasta Screws 500g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Food-Cupboard/Pasta-%26-Noodles/Shapes/Fatti%27s-%26-Moni%27s-Pasta-Screws-500g/p/000000000000358895_EA,"{'Date': '2022-12-07', 'Price': 30.99}",staple_foods
2022-12-08,30.99,0.0,0.0,Fatti's & Moni's Pasta Screws 500g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Food-Cupboard/Pasta-%26-Noodles/Shapes/Fatti%27s-%26-Moni%27s-Pasta-Screws-500g/p/000000000000358895_EA,"{'Date': '2022-12-08', 'Price': 30.99}",staple_foods
2022-12-09,30.99,0.0,0.0,Fatti's & Moni's Pasta Screws 500g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Food-Cupboard/Pasta-%26-Noodles/Shapes/Fatti%27s-%26-Moni%27s-Pasta-Screws-500g/p/000000000000358895_EA,"{'Date': '2022-12-09', 'Price': 30.99}",staple_foods
2022-12-10,30.99,0.0,0.0,Fatti's & Moni's Pasta Screws 500g,South Africa,Africa,ZAR,Pick n Pay,Food and Groceries,https://www.pnp.co.za/pnpstorefront/pnp/en/All-Products/Food-Cupboard/Pasta-%26-Noodles/Shapes/Fatti%27s-%26-Moni%27s-Pasta-Screws-500g/p/000000000000358895_EA,"{'Date': '2022-12-10', 'Price': 30.99}",staple_foods
