Date,Price,DayOnDayPriceDiff,PricesCumDiff,ProductName,Country,Continent,Currency,Store,Category,Product URL,Price over time,ProductKeyword
2022-12-01,89.99,,,SPAR IQF MIXED CHICKEN PORTIONS 2KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763618,"{'Date': '2022-12-01', 'Price': 89.99}",meat
2022-12-02,89.99,0.0,0.0,SPAR IQF MIXED CHICKEN PORTIONS 2KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763618,"{'Date': '2022-12-02', 'Price': 89.99}",meat
2022-12-03,89.99,0.0,0.0,SPAR IQF MIXED CHICKEN PORTIONS 2KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763618,"{'Date': '2022-12-03', 'Price': 89.99}",meat
2022-12-04,89.99,0.0,0.0,SPAR IQF MIXED CHICKEN PORTIONS 2KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763618,"{'Date': '2022-12-04', 'Price': 89.99}",meat
2022-12-05,89.99,0.0,0.0,SPAR IQF MIXED CHICKEN PORTIONS 2KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763618,"{'Date': '2022-12-05', 'Price': 89.99}",meat
2022-12-06,99.99,0.11112345816201796,0.11112345816201796,SPAR IQF MIXED CHICKEN PORTIONS 2KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763618,"{'Date': '2022-12-06', 'Price': 99.99}",meat
2022-12-07,99.99,0.0,0.11112345816201796,SPAR IQF MIXED CHICKEN PORTIONS 2KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763618,"{'Date': '2022-12-07', 'Price': 99.99}",meat
2022-12-08,99.99,0.0,0.11112345816201796,SPAR IQF MIXED CHICKEN PORTIONS 2KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763618,"{'Date': '2022-12-08', 'Price': 99.99}",meat
2022-12-09,99.99,0.0,0.11112345816201796,SPAR IQF MIXED CHICKEN PORTIONS 2KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763618,"{'Date': '2022-12-09', 'Price': 99.99}",meat
2022-12-10,99.99,0.0,0.11112345816201796,SPAR IQF MIXED CHICKEN PORTIONS 2KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763618,"{'Date': '2022-12-10', 'Price': 99.99}",meat
2022-12-11,99.99,0.0,0.11112345816201796,SPAR IQF MIXED CHICKEN PORTIONS 2KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763618,"{'Date': '2022-12-11', 'Price': 99.99}",meat
