Date,Price,ProductName,Country,Continent,Currency,Store,Category,Product URL,Price over time
2023-03-01,99.99,SPAR IQF MIXED CHICKEN PORTIONS 2KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763618,"{'Date': '2023-03-01', 'Price': 99.99}"
2023-03-02,99.99,SPAR IQF MIXED CHICKEN PORTIONS 2KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763618,"{'Date': '2023-03-02', 'Price': 99.99}"
2023-03-03,99.99,SPAR IQF MIXED CHICKEN PORTIONS 2KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763618,"{'Date': '2023-03-03', 'Price': 99.99}"
2023-03-04,99.99,SPAR IQF MIXED CHICKEN PORTIONS 2KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763618,"{'Date': '2023-03-04', 'Price': 99.99}"
2023-03-05,99.99,SPAR IQF MIXED CHICKEN PORTIONS 2KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763618,"{'Date': '2023-03-05', 'Price': 99.99}"
2023-03-06,99.99,SPAR IQF MIXED CHICKEN PORTIONS 2KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763618,"{'Date': '2023-03-06', 'Price': 99.99}"
2023-03-07,74.99,SPAR IQF MIXED CHICKEN PORTIONS 2KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763618,"{'Date': '2023-03-07', 'Price': 74.99}"
2023-03-08,74.99,SPAR IQF MIXED CHICKEN PORTIONS 2KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763618,"{'Date': '2023-03-08', 'Price': 74.99}"
2023-03-09,74.99,SPAR IQF MIXED CHICKEN PORTIONS 2KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763618,"{'Date': '2023-03-09', 'Price': 74.99}"
2023-03-10,74.99,SPAR IQF MIXED CHICKEN PORTIONS 2KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763618,"{'Date': '2023-03-10', 'Price': 74.99}"
2023-03-11,74.99,SPAR IQF MIXED CHICKEN PORTIONS 2KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763618,"{'Date': '2023-03-11', 'Price': 74.99}"
2023-03-12,74.99,SPAR IQF MIXED CHICKEN PORTIONS 2KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763618,"{'Date': '2023-03-12', 'Price': 74.99}"
2023-03-13,74.99,SPAR IQF MIXED CHICKEN PORTIONS 2KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763618,"{'Date': '2023-03-13', 'Price': 74.99}"
2023-03-14,74.99,SPAR IQF MIXED CHICKEN PORTIONS 2KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763618,"{'Date': '2023-03-14', 'Price': 74.99}"
