Date,Price,DayOnDayPriceDiff,PricesCumDiff,ProductName,Country,Continent,Currency,Store,Category,Product URL,Price over time,ProductKeyword
2022-12-01,14.99,,,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-01', 'Price': 14.99}",staple_foods
2022-12-02,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-02', 'Price': 14.99}",staple_foods
2022-12-03,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-03', 'Price': 14.99}",staple_foods
2022-12-04,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-04', 'Price': 14.99}",staple_foods
2022-12-05,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-05', 'Price': 14.99}",staple_foods
2022-12-06,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-06', 'Price': 14.99}",staple_foods
2022-12-07,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-07', 'Price': 14.99}",staple_foods
2022-12-08,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-08', 'Price': 14.99}",staple_foods
2022-12-09,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-09', 'Price': 14.99}",staple_foods
2022-12-10,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-10', 'Price': 14.99}",staple_foods
2022-12-11,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-11', 'Price': 14.99}",staple_foods
2022-12-12,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-12', 'Price': 14.99}",staple_foods
2022-12-13,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-13', 'Price': 14.99}",staple_foods
2022-12-14,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-14', 'Price': 14.99}",staple_foods
2022-12-15,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-15', 'Price': 14.99}",staple_foods
2022-12-16,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-16', 'Price': 14.99}",staple_foods
2022-12-17,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-17', 'Price': 14.99}",staple_foods
2022-12-18,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-18', 'Price': 14.99}",staple_foods
2022-12-19,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-19', 'Price': 14.99}",staple_foods
2022-12-20,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-20', 'Price': 14.99}",staple_foods
2022-12-21,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-21', 'Price': 14.99}",staple_foods
2022-12-22,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-22', 'Price': 14.99}",staple_foods
2022-12-23,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-23', 'Price': 14.99}",staple_foods
2022-12-24,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-24', 'Price': 14.99}",staple_foods
2022-12-25,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-25', 'Price': 14.99}",staple_foods
2022-12-26,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-26', 'Price': 14.99}",staple_foods
2022-12-27,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-27', 'Price': 14.99}",staple_foods
2022-12-28,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-28', 'Price': 14.99}",staple_foods
2022-12-29,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-29', 'Price': 14.99}",staple_foods
2022-12-30,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-30', 'Price': 14.99}",staple_foods
2022-12-31,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2022-12-31', 'Price': 14.99}",staple_foods
2023-01-01,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2023-01-01', 'Price': 14.99}",staple_foods
2023-01-02,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2023-01-02', 'Price': 14.99}",staple_foods
2023-01-03,14.99,0.0,0.0,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2023-01-03', 'Price': 14.99}",staple_foods
2023-01-04,15.99,0.06671114076050699,0.06671114076050699,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2023-01-04', 'Price': 15.99}",staple_foods
2023-01-05,15.99,0.0,0.06671114076050699,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2023-01-05', 'Price': 15.99}",staple_foods
2023-01-06,15.99,0.0,0.06671114076050699,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2023-01-06', 'Price': 15.99}",staple_foods
2023-01-07,15.99,0.0,0.06671114076050699,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2023-01-07', 'Price': 15.99}",staple_foods
2023-01-08,15.99,0.0,0.06671114076050699,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2023-01-08', 'Price': 15.99}",staple_foods
2023-01-09,15.99,0.0,0.06671114076050699,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2023-01-09', 'Price': 15.99}",staple_foods
2023-01-10,15.99,0.0,0.06671114076050699,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2023-01-10', 'Price': 15.99}",staple_foods
2023-01-11,15.99,0.0,0.06671114076050699,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2023-01-11', 'Price': 15.99}",staple_foods
2023-01-12,15.99,0.0,0.06671114076050699,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2023-01-12', 'Price': 15.99}",staple_foods
2023-01-13,15.99,0.0,0.06671114076050699,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2023-01-13', 'Price': 15.99}",staple_foods
2023-01-14,15.99,0.0,0.06671114076050699,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2023-01-14', 'Price': 15.99}",staple_foods
2023-01-15,14.99,-0.06253908692933086,0.004172053831176137,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2023-01-15', 'Price': 14.99}",staple_foods
2023-01-16,14.99,0.0,0.004172053831176137,FRESHLINE GREEN BEANS 350GM,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/29990962,"{'Date': '2023-01-16', 'Price': 14.99}",staple_foods
